1,3,0,0,1,7,3,0,4,2,3,4,1,3,3,1|Up|2,3,3,4,4,7,4,1,1,2,0,0,0,3,0,0
2,3,3,4,4,7,4,1,1,2,0,0,1,3,0,0|Right|0,2,4,4,4,7,4,1,0,0,1,2,0,0,1,3
0,2,4,4,4,7,4,1,0,1,1,2,0,0,1,3|Left|2,5,0,0,4,7,4,1,2,2,0,0,1,3,0,0
2,5,0,1,4,7,4,1,2,2,0,0,1,3,0,0|Up|2,5,4,2,4,7,0,0,2,2,0,0,1,3,0,0
2,5,4,2,4,7,2,0,2,2,0,0,1,3,0,0|Up|2,5,4,2,4,7,2,0,2,2,0,0,1,3,0,0
2,5,4,2,4,7,2,0,2,2,0,0,1,3,0,0|Left|2,5,4,2,4,7,2,0,3,0,0,0,1,3,0,0
2,5,4,2,4,7,2,0,3,2,0,0,1,3,0,0|Down|2,5,0,0,4,7,0,0,3,2,4,0,1,3,2,2
2,5,0,0,4,7,0,0,3,2,4,1,1,3,2,2|Left|2,5,0,0,4,7,0,0,3,2,4,1,1,3,3,0
2,5,0,0,4,7,0,0,3,2,4,1,1,3,3,2|Down|2,5,0,0,4,7,0,0,3,2,4,1,1,3,3,2
2,5,0,0,4,7,0,0,3,2,4,1,1,3,3,2|Up|2,5,4,1,4,7,3,2,3,2,0,0,1,3,0,0
2,5,4,1,4,7,3,2,3,2,0,0,1,3,1,0|Up|2,5,4,1,4,7,3,2,3,2,1,0,1,3,0,0
2,5,4,1,4,7,3,2,3,2,1,0,1,3,0,0|Left|2,5,4,1,4,7,3,2,3,2,1,0,1,3,0,0
2,5,4,1,4,7,3,2,3,2,1,0,1,3,0,0|Right|2,5,4,1,4,7,3,2,0,3,2,1,0,0,1,3
2,5,4,1,4,7,3,2,0,3,2,1,1,0,1,3|Up|2,5,4,1,4,7,3,2,1,3,2,1,0,0,1,3
2,5,4,1,4,7,3,2,1,3,2,1,0,0,1,3|Right|2,5,4,1,4,7,3,2,1,3,2,1,0,0,1,3
2,5,4,1,4,7,3,2,1,3,2,1,0,0,1,3|Left|2,5,4,1,4,7,3,2,1,3,2,1,1,3,0,0
2,5,4,1,4,7,3,2,1,3,2,1,1,3,0,1|Down|0,0,0,0,2,5,4,1,4,7,3,2,2,4,2,2
0,0,0,1,2,5,4,1,4,7,3,2,2,4,2,2|Left|1,0,0,0,2,5,4,1,4,7,3,2,2,4,3,0
1,0,0,0,2,5,4,1,4,7,3,2,2,4,3,1|Down|1,0,0,0,2,5,0,1,4,7,4,2,2,4,4,1
1,2,0,0,2,5,0,1,4,7,4,2,2,4,4,1|Up|1,2,5,1,2,5,0,2,4,7,0,1,2,4,0,0
1,2,5,1,2,5,0,2,4,7,0,1,2,4,1,0|Right|1,2,5,1,0,2,5,2,0,4,7,1,0,2,4,1
1,2,5,1,0,2,5,2,1,4,7,1,0,2,4,1|Right|1,2,5,1,0,2,5,2,1,4,7,1,0,2,4,1
1,2,5,1,0,2,5,2,1,4,7,1,0,2,4,1|Down|0,0,0,0,0,3,6,1,0,4,7,2,2,2,4,2
0,0,2,0,0,3,6,1,0,4,7,2,2,2,4,2|Down|0,0,2,0,0,3,6,0,0,4,7,1,2,2,4,3
1,0,2,0,0,3,6,0,0,4,7,1,2,2,4,3|Left|1,2,0,0,3,6,0,0,4,7,1,0,3,4,3,0
1,2,0,0,3,6,1,0,4,7,1,0,3,4,3,0|Up|1,2,2,0,3,6,3,0,4,7,0,0,3,4,0,0
1,2,2,1,3,6,3,0,4,7,0,0,3,4,0,0|Up|1,2,2,1,3,6,3,0,4,7,0,0,3,4,0,0
1,2,2,1,3,6,3,0,4,7,0,0,3,4,0,0|Down|1,2,0,0,3,6,0,0,4,7,2,0,3,4,3,1
1,2,0,0,3,6,1,0,4,7,2,0,3,4,3,1|Up|1,2,1,1,3,6,2,0,4,7,3,0,3,4,0,0
1,2,1,1,3,6,2,0,4,7,3,0,3,4,0,2|Down|1,2,0,0,3,6,1,0,4,7,2,1,3,4,3,2
1,2,0,1,3,6,1,0,4,7,2,1,3,4,3,2|Down|1,2,0,0,3,6,1,0,4,7,2,2,3,4,3,2
1,2,0,2,3,6,1,0,4,7,2,2,3,4,3,2|Left|1,3,0,0,3,6,1,0,4,7,3,0,3,4,3,2
1,3,0,1,3,6,1,0,4,7,3,0,3,4,3,2|Up|1,3,1,1,3,6,4,2,4,7,0,0,3,4,0,0
1,3,1,1,3,6,4,2,4,7,0,0,3,4,1,0|Left|1,3,2,0,3,6,4,2,4,7,0,0,3,4,1,0
1,3,2,0,3,6,4,2,4,7,1,0,3,4,1,0|Up|1,3,2,2,3,6,4,0,4,7,2,0,3,4,0,0
1,3,2,2,3,6,4,0,4,7,2,1,3,4,0,0|Right|0,1,3,3,0,3,6,4,4,7,2,1,0,0,3,4
1,1,3,3,0,3,6,4,4,7,2,1,0,0,3,4|Down|0,0,3,3,0,1,6,4,1,3,2,1,4,7,3,4
0,1,3,3,0,1,6,4,1,3,2,1,4,7,3,4|Right|0,0,1,4,0,1,6,4,1,3,2,1,4,7,3,4
0,2,1,4,0,1,6,4,1,3,2,1,4,7,3,4|Down|0,2,1,0,0,1,6,5,1,3,2,1,4,7,3,4
0,2,1,1,0,1,6,5,1,3,2,1,4,7,3,4|Down|0,2,1,1,0,1,6,5,1,3,2,1,4,7,3,4
0,2,1,1,0,1,6,5,1,3,2,1,4,7,3,4|Left|2,2,0,0,1,6,5,0,1,3,2,1,4,7,3,4
2,2,0,1,1,6,5,0,1,3,2,1,4,7,3,4|Right|0,0,3,1,0,1,6,5,1,3,2,1,4,7,3,4
0,0,3,1,1,1,6,5,1,3,2,1,4,7,3,4|Left|3,1,0,0,2,6,5,0,1,3,2,1,4,7,3,4
3,1,1,0,2,6,5,0,1,3,2,1,4,7,3,4|Left|3,2,0,0,2,6,5,0,1,3,2,1,4,7,3,4
3,2,0,1,2,6,5,0,1,3,2,1,4,7,3,4|Up|3,2,5,2,2,6,2,4,1,3,3,0,4,7,0,0
3,2,5,2,2,6,2,4,1,3,3,1,4,7,0,0|Down|3,2,0,0,2,6,5,2,1,3,2,4,4,7,3,1
3,2,1,0,2,6,5,2,1,3,2,4,4,7,3,1|Up|3,2,1,2,2,6,5,4,1,3,2,1,4,7,3,0
